通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
41,2016,基礎調査,廃棄物処理,廃自動車等金属スクラップの処理と再資源化効率向上のための収集・運搬・加工に関する基礎調査,株式会社青南商事,青森県,(なし),モンゴル
,,,,,,,,
,,,,,,,,
42,2020,基礎調査,農業,氷温熟成技術を活用したポストハーベストにおけるコーヒー豆品質と市場価格向上に関する基礎調査,大青工業株式会社,青森県,【契約交渉中】,ケニア
43,2020,基礎調査,その他,安全運転教育ノウハウの導入による交通事故削減のための基礎調査,株式会社ムジコ・クリエイト,青森県,【契約交渉中】,ミャンマー
44,2014,案件化調査（中小企業支援型）,職業訓練・産業育成,カイメップ港の機能向上に向けた物流サービス提供のための案件化調査,白金運輸株式会社,岩手県,株式会社福山コンサルタント、株式会社RTアシスト,ベトナム
,,,,,,,,
,,,,,,,,
45,2017,案件化調査（中小企業支援型）,職業訓練・産業育成,工業教育分野における開発技術者及びものづくり人材育成プログラムに係る案件化調査,株式会社モディー,岩手県,株式会社フォーバル,ベトナム
,,,,,,,,
,,,,,,,,
46,2019,案件化調査（中小企業支援型）,農業,クアンチ省砂丘メロンの流通事業化に係る案件化調査,株式会社西部開発農産,岩手県,Value Frontier株式会社,ベトナム
47,2017,案件化調査（中小企業支援型）,防災・災害対策,"スーパーウェルポイント工法を活用した地盤改良及び洪水対策案件化調査【5,000万円上限枠】",株式会社アサヒテクノ,岩手県,株式会社日本開発政策研究所,マレーシア
,,,,,,,,
48,2019,案件化調査（中小企業支援型）,その他,圧力調整注入工法を活用したコンクリート構造物の補修及び長寿命化にかかる案件化調査,株式会社栄組,岩手県,【契約交渉中】,ブラジル
49,2019,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,自動車産業における技術者及び技能者育成プログラム普及・実証・ビジネス化事業,株式会社モディー,岩手県,【契約交渉中】,ベトナム
50,2019,普及・実証・ビジネス化事業（中小企業支援型）,農業,組織培養技術を用いた高品質花き種苗生産の普及・実証・ビジネス化事業【アフリカ課題提示型】,株式会社R-GATE八幡平,岩手県,【契約交渉中】,ルワンダ
