通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
,,,,,,,,ベトナム
,,,,,,,,
635,2017,案件化調査（中小企業支援型）,農業,センサーネットワークとクラウド技術を用いた灌漑テレメータシステム導入案件化調査,株式会社イートラスト、株式会社拓和 共同企業体,新潟県,日本工営株式会社,フィリピン
,,,,,,,,
,,,,,,,,
636,2013,案件化調査（中小企業支援型）,防災・災害対策,太陽光発電および無線通信を活用した河川監視カメラシステムによる水防災対策事業に係る案件化調査,株式会社イートラスト、一般財団法人アライアンス・フォーラム財団 共同企業体,新潟県,(なし),バングラデシュ
,,,,,,,,
637,2013,案件化調査（中小企業支援型）,防災・災害対策,緊急告知ラジオによる災害情報提供を活用した地域住民災害対応能力強化案件化調査,ワキヤ技研株式会社、株式会社オリエンタルコンサルタンツ 共同企業体,新潟県,(なし),インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
638,2017,案件化調査（中小企業支援型）,防災・災害対策,道路斜面災害対策技術及び工法に関する案件化調査,株式会社プロテックエンジニアリング,新潟県,国際航業株式会社,ブータン
,,,,,,,,
,,,,,,,,
639,2012,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,燕三条ブランド工具の普及・実証事業,トップ工業株式会社,新潟県,株式会社野村総合研究所,カンボジア
,,,,,,,,
,,,,,,,,
,,,,,,,,
640,2014,普及・実証・ビジネス化事業（中小企業支援型）,農業,インディカ米を原料とする低たんぱく加工米の普及・実証事業,ホリカフーズ株式会社,新潟県,(なし),タイ
,,,,,,,,
,,,,,,,,
641,2014,普及・実証・ビジネス化事業（中小企業支援型）,農業,慢性腎臓病患者の食事療法用低たんぱく米導入のための普及・実証事業,株式会社バイオテックジャパン,新潟県,株式会社大和総研,フィリピン
,,,,,,,,
,,,,,,,,
642,2015,普及・実証・ビジネス化事業（中小企業支援型）,農業,トルコ東部農村地域における果樹生産者組合への管理作業機の普及・実証事業,フジイコーポレーション株式会社,新潟県,株式会社大和総研,トルコ
,,,,,,,,
,,,,,,,,
643,2013,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,雪崩対策の技術移転と雪崩予防柵の普及・実証事業,株式会社プロテックエンジニアリング,新潟県,(なし),トルコ
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
645,2018,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,道路斜面災害対策技術及び工法に関する普及・実証・ビジネス化事業【1.5億円枠】,株式会社プロテックエンジニアリング,新潟県,国際航業株式会社,ブータン
646,2013,普及・実証・ビジネス化事業（中小企業支援型）,その他,過積載車両取締り用走行計量システム普及・実証事業,株式会社田中衡機工業所,新潟県,ベトナムコンサルティング有限会社、VIET-JAPAN ADVANCED TECHNOLIGY JSC,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
647,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,『燕三条製品の妹ブランドの創出、および燕三条ブランド』普及・実証・ビジネス化事業【地域産業集積海外展開推進枠】,株式会社髙儀、株式会社マルト長谷川工作所、株式会社中條金物、北興商事株式会社 共同企業体,新潟県,株式会社ワールド・ビジネス・アソシエイツ,ベトナム
648,2016,基礎調査,環境・エネルギー,螺旋式マイクロ水力発電機による無電化・電力不足地域への電力支援基礎調査,加茂鉄工業協同組合,新潟県,株式会社VSOC,カンボジア
,,,,,,,,
,,,,,,,,
649,2019,基礎調査,農業,農協へのスマート農業導入に係る基礎調査,ソリマチ株式会社,新潟県,【契約交渉中】,ベトナム
650,2015,基礎調査,保健医療,眼科医療機器の製造技術移転に関する事業の基礎調査(中小企業連携促進),株式会社オーヒラ,新潟県,Adam innovations株式会社,スリランカ
,,,,,,,,
,,,,,,,,
651,2019,基礎調査,保健医療,病院・介護施設向け食品の基礎調査,株式会社タケショー,新潟県,【契約交渉中】,ベトナム
652,2019,基礎調査,防災・災害対策,高エネルギー吸収型落石防護網工法の適用促進基礎調査,シビル安全心株式会社,新潟県,日本工営株式会社,エルサルバドル
653,2012,基礎調査,その他,工業用計量器事業調査(中小企業連携促進),株式会社田中衡機工業所、ベトナムコンサルティング有限会社 共同企業体,新潟県,(なし),ベトナム
654,2020,基礎調査,その他,ベトナム国 交通安全教育機器を活用した運転者の交通安全教育の基礎調査,新潟通信機株式会社,新潟県,【契約交渉中】,ベトナム
655,2011,協力準備調査（BOPビジネス連携促進）,農業,緑豆生産の体制構築事業準備調査(BOPビジネス連携促進),株式会社ユーグレナ((株)雪国まいたけ),新潟県,-,バングラデシュ
,,,,,,,,
656,2016,途上国の課題解決型ビジネス（SDGsビジネス）調査,農業,焼畑農業による森林減少抑制のための女竹生産・流通システム構築ビジネス(SDGsビジネス)調査,有限会社臼井農畜産,新潟県,-,ベトナム
,,,,,,,,
657,2017,案件化調査（中小企業支援型）,福祉,日本式介護学校と介護センターの一体運営モデルの案件化調査,株式会社エスポワール,長野県,株式会社フォーバル,ベトナム
,,,,,,,,
658,2015,案件化調査（中小企業支援型）,農業,ポストハーベストにおける所得向上を目的とした石抜き機導入による付加価値向上のための案件化調査,株式会社細川製作所,長野県,公益社団法人国際農林業協働協会,ウガンダ
,,,,,,,,
,,,,,,,,
659,2019,案件化調査（中小企業支援型）,農業,牛乳・乳製品の品質向上による酪農セクター振興のための案件化調査,オリオン機械株式会社,長野県,【契約交渉中】,ミャンマー
670,2020,案件化調査（中小企業支援型）,農業,ICTを活用した小型精米ユニット導入による国産米高付加価値化推進案件化調査,カンリウ工業株式会社,長野県,【契約交渉中】,ガーナ
671,2020,案件化調査（中小企業支援型）,農業,畑作用農作業機械導入による3期作水田の大豆転作推進および生産性向上のための案件化調査,松山株式会社,長野県,【契約交渉中】,ベトナム
672,2014,案件化調査（中小企業支援型）,保健医療,院内感染撲滅に向けた医療用抗菌システム普及案件化調査,株式会社信州セラミックス,長野県,株式会社三菱総合研究所、株式会社アルメックVPI,ベトナム
,,,,,,,,
673,2018,案件化調査（中小企業支援型）,教育,基礎教育における初学者向けプログラミング教育に関する案件化調査,キャスタリア株式会社,長野県,株式会社アイリンク,ケニア
,,,,,,,,
,,,,,,,,
674,2019,案件化調査（中小企業支援型）,教育,ITを活用した先端的な日本式初等教育に関する案件化調査【アフリカ課題提示型】,キャスタリア株式会社,長野県,株式会社アイリンク、ぺパーソンインターナショナル株式会社,エジプト
675,2019,普及・実証・ビジネス化事業（中小企業支援型）,福祉,ベトナム国日本式介護学校と介護センターの一体運営モデルの普及・実証・ビジネス化事業,株式会社エスポワール,長野県,【契約交渉中】,ベトナム
676,2014,普及・実証・ビジネス化事業（中小企業支援型）,農業,土壌分析・施肥設計及び鶏糞化成混合肥料技術の普及・実証事業,株式会社ジャパンバイオファーム,長野県,有限会社農業マーケティング研究所、株式会社イースクエア,ザンビア
,,,,,,,,
677,2016,普及・実証・ビジネス化事業（中小企業支援型）,農業,自動洗浄機能付搾乳システム及び生乳冷却機による生乳の品質向上に関する普及・実証事業,オリオン機械株式会社,長野県,株式会社大和総研,タイ
,,,,,,,,
,,,,,,,,
678,2020,普及・実証・ビジネス化事業（中小企業支援型）,教育,ケニア国基礎教育における初学者向けプログラミング教育に関する普及・実証・ビジネス化事業,キャスタリア株式会社,長野県,【契約交渉中】,ケニア
679,2016,基礎調査,福祉,介護施設運営・福祉用具事業・人材育成事業に関する有効性、採算性の基礎調査,エフビー介護サービス株式会社,長野県,(なし),タイ
,,,,,,,,
,,,,,,,,
680,2014,基礎調査,農業,代かき機・耕耘爪の生産及びASEAN域内販売可能性調査(中小企業連携促進),松山株式会社、株式会社事業革新パートナーズ 共同企業体,長野県,(なし),ラオス
,,,,,,,,
,,,,,,,,
681,2017,基礎調査,教育,初等・中等教育における初学者向けプログラミング教育に関する基礎調査,キャスタリア株式会社,長野県,株式会社アイリンク,ケニア
,,,,,,,,
682,2017,民間技術普及促進事業,教育,読書障害者用DAISY図書製作ソフトウエア普及促進事業,シナノケンシ株式会社,長野県,グリーンエイト株式会社,エジプト
,,,,,,,,
,,,,,,,,
683,2016,案件化調査（中小企業支援型）,環境・エネルギー,未電化農山村における蓄電式マイクロ水力‐太陽光ハイブリッド発電システム導入案件化調査,株式会社日建,山梨県,株式会社アンジェロセック,マラウイ
,,,,,,,,
,,,,,,,,
684,2018,案件化調査（中小企業支援型）,廃棄物処理,建設廃棄物の安全で効率的な分別・選別処理システムによる埋め立て処分量削減のための案件化調査,鈴健興業株式会社,山梨県,株式会社かいはつマネジメント・コンサルティング、KMCベトナム,ベトナム
,,,,,,,,
685,2016,案件化調査（中小企業支援型）,職業訓練・産業育成,半貴石加工技術による小規模事業者の収益向上案件化調査,甲斐水晶工芸株式会社,山梨県,(なし),ザンビア
,,,,,,,,
,,,,,,,,
686,2015,案件化調査（中小企業支援型）,農業,パンパンガ州における桑の葉茶事業案件化調査,株式会社桑郷,山梨県,株式会社タスクアソシエーツ,フィリピン
,,,,,,,,
,,,,,,,,
687,2019,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,建設廃棄物処分量削減と再製品化に向けた重機選別リサイクルシステム普及・実証・ビジネス化事業,鈴健興業株式会社,山梨県,【契約交渉中】,ベトナム
689,2015,普及・実証・ビジネス化事業（中小企業支援型）,農業,先進的な施設園芸・農業人材育成モデル普及・実証事業,株式会社サラダボウル,山梨県,日本工営株式会社、VJBC合同会社,ベトナム
,,,,,,,,
,,,,,,,,
690,2017,普及・実証・ビジネス化事業（中小企業支援型）,農業,パンパンガ州における桑の葉茶事業普及・実証事業,株式会社桑郷,山梨県,株式会社タスクアソシエーツ,フィリピン
691,2014,基礎調査,農業,ダラット高原における先進的施設園芸事業調査(中小企業連携促進),株式会社サラダボウル、日本工営株式会社 共同企業体,山梨県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
692,2016,基礎調査,保健医療,プレハブ・システム建築を活用した医療施設整備に向けた基礎調査,株式会社内藤ハウス,山梨県,アイテック株式会社,コートジボワール
,,,,,,,,
,,,,,,,,
693,2017,案件化調査（中小企業支援型）,環境・エネルギー,未電化地域におけるコンパクトな水力発電システムの活用に関する案件化調査,MNJ株式会社、株式会社佐藤工業所 共同企業体,静岡県,株式会社建設技研インターナショナル,ソロモン
,,,,,,,,
694,2019,案件化調査（中小企業支援型）,環境・エネルギー,木材加工の効率化および高付加価値化による森林資源の有効活用のための案件化調査,株式会社ヒロタ,静岡県,【契約交渉中】,ケニア
695,2012,案件化調査（中小企業支援型）,職業訓練・産業育成,ベトナム金型産業・人材育成調査,株式会社オーミ、株式会社日本開発サービス 共同企業体,静岡県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
696,2018,案件化調査（中小企業支援型）,職業訓練・産業育成,鋳物製造技術者育成にかかる案件化調査,株式会社木村鋳造所,静岡県,株式会社イースクエア,インド
,,,,,,,,
696,2017,案件化調査（中小企業支援型）,福祉,日本式介護システム導入事業案件化調査,インフィック株式会社,静岡県,デロイトトーマツファイナンシャルアドバイザリー合同会社,フィリピン
,,,,,,,,
697,2014,案件化調査（中小企業支援型）,農業,インドネシア営農集団(クロンポク・タニ、ガポックタン)コメ収穫後処理技術向上計画 案件化調査,静岡製機株式会社,静岡県,株式会社徳本適正技術研究所,インドネシア
,,,,,,,,
698,2014,案件化調査（中小企業支援型）,農業,茶成分分析計による品質管理を通じた紅茶産業競争力向上に関する案件化調査,カワサキ機工株式会社,静岡県,株式会社日本開発サービス,スリランカ
,,,,,,,,
,,,,,,,,
699,2016,案件化調査（中小企業支援型）,農業,現地茶葉競争力向上支援事業に関する案件化調査,落合刃物工業株式会社、株式会社寺田製作所、企業組合静岡機械製作所 共同企業体,静岡県,マイクライメイトジャパン株式会社,ケニア
,,,,,,,,
,,,,,,,,
700,2014,案件化調査（中小企業支援型）,保健医療,日本の介護予防システム適用による高齢者の健康寿命延伸に関する案件化調査,羽立工業株式会社,静岡県,株式会社オリエンタルコンサルタンツグローバル,タイ
,,,,,,,,
,,,,,,,,
701,2019,案件化調査（中小企業支援型）,その他,飲酒運転防止をメインとした事故防止支援(機器運用及び教育支援)案件化調査,東海電子株式会社,静岡県,【契約交渉中】,ベトナム
702,2019,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,ヤンゴン市に排出される廃プラスチックの固形燃料等再生利用に係る普及・実証・ビジネス化事業【1.5億円枠】,株式会社エムエスケイ,静岡県,【契約交渉中】,ミャンマー
703,2020,普及・実証・ビジネス化事業（中小企業支援型）,産業振興,鋳物製造技術者育成にかかる普及・実証・ビジネス化事業,株式会社木村鋳造所,静岡県,【契約交渉中】,インド
704,2019,普及・実証・ビジネス化事業（中小企業支援型）,福祉,フィリピン国日本式介護システム普及・実証・ビジネス化事業,インフィック株式会社,静岡県,【契約交渉中】,フィリピン
705,2016,普及・実証・ビジネス化事業（中小企業支援型）,農業,茶成分分析計を活用した紅茶産業競争力強化に関する普及・実証事業,カワサキ機工株式会社,静岡県,株式会社日本開発サービス,スリランカ
706,2017,普及・実証・ビジネス化事業（中小企業支援型）,農業,現地茶葉競争力向上のための蒸製緑茶生産技術普及・実証事業【1.5億円枠】,落合刃物工業株式会社、株式会社寺田製作所、企業組合静岡機械製作所 共同企業体,静岡県,マイクライメイトジャパン株式会社、国際航業株式会社,ケニア
706,2016,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,日本の介護予防システムを活用した高齢者の健康増進に係る普及・実証事業,羽立工業株式会社,静岡県,株式会社オリエンタルコンサルタンツグローバル,タイ
707,2019,基礎調査,環境・エネルギー,リサイクル薬剤を活用した鉛バッテリーの長寿命化による環境保全促進のための基礎調査,株式会社LIGARE,静岡県,【契約交渉中】,ベトナム
708,2017,基礎調査,廃棄物処理,ヤンゴン市から排出される廃プラスチック還元剤利用の事業計画策定に関する基礎調査,株式会社エムエスケイ,静岡県,株式会社ジームス・アソシエイツ,ミャンマー
,,,,,,,,
,,,,,,,,
709,2015,基礎調査,水の浄化・水処理,有用微生物資材による有機性汚泥の分解と水質浄化事業調査,サンカイ化成株式会社,静岡県,日本環境コンサルタント株式会社,ベトナム
710,2015,基礎調査,福祉,日本式介護システム導入事業基礎調査,インフィック株式会社,静岡県,(なし),フィリピン
,,,,,,,,
711,2017,基礎調査,農業,マドゥラ島における自然エネルギー活用型技術を導入した天日塩産業の育成に関する基礎調査,株式会社鈴勝,静岡県,AAI株式会社,インドネシア
,,,,,,,,
,,,,,,,,
712,2010,協力準備調査（BOPビジネス連携促進）,水の浄化・水処理,西アフリカにおける浄水装置を用いた村落給水事業準備調査(BOPビジネス連携促進),ヤマハ発動機株式会社、システム科学コンサルタンツ株式会社 共同企業体,静岡県,-,セネガル
713,2016,協力準備調査（BOPビジネス連携促進）,農業,FSC認証森林からの持続可能な木材調達事業準備調査(BOPビジネス連携促進),ヤマハ株式会社,静岡県,(なし),タンザニア
,,,,,,,,
,,,,,,,,
,,,,,,,,
714,2015,協力準備調査（BOPビジネス連携促進）,その他,FRP船製造・販売事業準備調査(BOPビジネス連携促進),ヤマハ発動機株式会社,静岡県,OAFIC株式会社,セネガル
,,,,,,,,
,,,,,,,,
,,,,,,,,
715,2019,案件化調査（SDGs型）,教育,初等教育への日本型器楽教育導入案件化調査【アフリカ課題提示型】,ヤマハ株式会社,静岡県,【契約交渉中】,エジプト
716,2013,案件化調査（中小企業支援型）,環境・エネルギー,小水力発電技術の案件化調査,株式会社北陸精機、一般社団法人国際建設技術協会 共同企業体,富山県,(なし),ミャンマー
,,,,,,,,
,,,,,,,,
,,,,,,,,
717,2014,案件化調査（中小企業支援型）,環境・エネルギー,用水路対応型小水力発電システム導入による電力不足解消を目指す案件化調査,水機工業株式会社、株式会社シキノハイテック、株式会社北陸精機、株式会社タイワ精機 共同企業体,富山県,株式会社三菱総合研究所,インドネシア
,,,,,,,,
718,2015,案件化調査（中小企業支援型）,環境・エネルギー,薬用植物資源の保全および持続可能な商業利用に関する案件化調査,株式会社ジャパン・フラワー・コーポレーション,富山県,株式会社かいはつマネジメント・コンサルティング、株式会社アースクリエーション,ラオス
,,,,,,,,
,,,,,,,,
719,2018,案件化調査（中小企業支援型）,環境・エネルギー,現地化マイクロ水力発電による地方電化ビジネスにかかる案件化調査,川端鐵工株式会社,富山県,【契約交渉中】,ミャンマー
720,2018,案件化調査（中小企業支援型）,環境・エネルギー,"高気温に適したリチウムイオン電池による都市大気改善事業にかかる案件化調査【5,000万円上限枠】",株式会社ITSEV,富山県,株式会社インド・ビジネス・センター、株式会社国際開発政策研究所,インド
,,,,,,,,
721,2014,案件化調査（中小企業支援型）,廃棄物処理,エコセパレ分離破砕機製造・現地販売に係る案件化調査,株式会社エムダイヤ,富山県,カーボンフリーコンサルティング株式会社、山田ビジネスコンサルティング株式会社,インドネシア
,,,,,,,,
,,,,,,,,
722,2014,案件化調査（中小企業支援型）,廃棄物処理,リマ市における有機性汚泥の乾燥処理技術を活用したバイオマス燃料の製造に係る案件化調査,株式会社アース・コーポレーション,富山県,カーボンフリーコンサルティング株式会社、株式会社日本開発サービス,ペルー
,,,,,,,,
723,2016,案件化調査（中小企業支援型）,廃棄物処理,廃棄物燃料を活用した再生アルミ製造技術に係る案件化調査,北陸テクノ株式会社,富山県,カーボンフリーコンサルティング株式会社、一般財団法人日本国際協力システム,メキシコ
,,,,,,,,
,,,,,,,,
724,2018,案件化調査（中小企業支援型）,廃棄物処理,有機性廃棄物の再資源化サプライチェーン事業案件化調査,株式会社石橋,富山県,株式会社PEARカーボンオフセット・イニシアティブ,インドネシア
,,,,,,,,
725,2019,案件化調査（中小企業支援型）,廃棄物処理,"都市ゴミ適正処理のための分別施設導入案件化調査【5,000万円上限枠】",株式会社リョーシン,富山県,【契約交渉中】,ミャンマー
726,2012,案件化調査（中小企業支援型）,農業,精米機製造・販売事業に基づくODA案件化調査-日本の精米技術に基づく中小精米業の技術・品質向上-,株式会社タイワ精機、株式会社日本開発政策研究所 共同企業体,富山県,(なし),カンボジア
,,,,,,,,
,,,,,,,,
727,2017,案件化調査（中小企業支援型）,農業,農家・農民グループ向け高性能小型籾摺精米機導入のための案件化調査,株式会社タイワ精機,富山県,株式会社日本開発政策研究所,インドネシア
,,,,,,,,
,,,,,,,,
728,2014,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,マイクロ水力発電技術の普及・実証事業,株式会社北陸精機,富山県,株式会社建設技術センター、三井共同建設コンサルタント株式会社,ミャンマー
,,,,,,,,
729,2016,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,用水路対応型小水力発電システムによる農村地域の電力不足解消に向けた普及・実証事業,水機工業株式会社,富山県,株式会社新日本コンサルタント,インドネシア
,,,,,,,,
730,2015,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,リマ市における有機汚泥の乾燥処理技術を活用した再生燃料の製造に係る普及・実証事業,株式会社アース・コーポレーション,富山県,カーボンフリーコンサルティング株式会社、一般財団法人日本国際協力システム,ペルー
,,,,,,,,
731,2019,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,バリ島における未分別一般ゴミの減量・再資源化 普及・実証・ビジネス化事業,株式会社石橋,富山県,【契約交渉中】,インドネシア
732,2016,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,有用植物資源の持続的な商業活用に向けた普及・実証事業,株式会社ジャパン・フラワー・コーポレーション,富山県,株式会社かいはつマネジメント・コンサルティング、株式会社アースクリエーション,ラオス
,,,,,,,,
733,2020,普及・実証・ビジネス化事業（中小企業支援型）,産業振興,高気温に適したリチウムイオン電池国産化と関連産業育成に係る普及・実証・ビジネス化事業,株式会社ITSEV,富山県,【契約交渉中】,インド
734,2012,普及・実証・ビジネス化事業（中小企業支援型）,農業,農協/支援パートナーの連携によるミニライスセンター普及・実証事業,株式会社タイワ精機,富山県,株式会社日本開発政策研究所,カンボジア
,,,,,,,,
,,,,,,,,
735,2013,基礎調査,環境・エネルギー,小水力発電による農村のエネルギー自立支援事業調査(中小企連携促進),川端鐵工株式会社、有限会社角野製作所、アジア航測株式会社 共同企業体,富山県,(なし),ミャンマー
736,2015,基礎調査,職業訓練・産業育成,中小企業振興及び産業人材育成事業のための基礎調査,株式会社ジェック経営コンサルタント,富山県,オーピーシー株式会社,カンボジア
,,,,,,,,
,,,,,,,,
737,2012,基礎調査,農業,精米機製造・販売・輸出事業調査(中小企業連携促進),株式会社タイワ精機、株式会社日本開発政策研究所 共同企業体,富山県,(なし),カンボジア
738,2015,基礎調査,農業,水産資源の有効活用によるだし調味料新製品開発事業にかかる基礎調査,かね七株式会社,富山県,株式会社国際開発アソシエイツ,インドネシア
,,,,,,,,
,,,,,,,,
739,2017,基礎調査,農業,完熟堆肥による高付加価値農作物の生産販売および完熟堆肥製造システムの販売に関する基礎調査,株式会社ジャパン・フラワー・コーポレーション,富山県,"株式会社アースクリエイション、株式会社かいはつマネジメント・コンサルティング、KMC LAO Sole Co.,Ltd.",タイ
,,,,,,,,
,,,,,,,,
740,2013,案件化調査（中小企業支援型）,廃棄物処理,都市ごみ埋立地再生事業案件化調査,株式会社アクトリー、株式会社サステイナブルシステムデザイン研究所、株式会社サティスファクトリーインターナショナル 共同企業体,石川県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
741,2015,案件化調査（中小企業支援型）,廃棄物処理,レナジーシステムによるボラカイ島での使用済み食用油のリサイクルおよび軽油燃料代替案件化調査,株式会社金沢エンジニアリングシステムズ,石川県,株式会社かいはつマネジメント・コンサルティング,フィリピン
,,,,,,,,
,,,,,,,,
742,2016,案件化調査（中小企業支援型）,廃棄物処理,バイオマス炭化装置を用いた有機廃棄物処理技術展開に関する案件化調査,明和工業株式会社,石川県,株式会社イースクエア,ケニア
,,,,,,,,
,,,,,,,,
743,2016,案件化調査（中小企業支援型）,廃棄物処理,油脂分解菌浄化システムの導入によるオリーブ搾油果汁廃液の汚染力低減に関する案件化調査,アムズ株式会社,石川県,株式会社アースアンドヒューマンコーポレーション、佐野総合企画株式会社,モロッコ
,,,,,,,,
,,,,,,,,
744,2019,案件化調査（中小企業支援型）,廃棄物処理,ケニア共和国・環境配慮型自動車リサイクルシステムの案件化調査【アフリカ課題提示型】,会宝産業株式会社,石川県,【契約交渉中】,ケニア
745,2012,案件化調査（中小企業支援型）,水の浄化・水処理,チュニジア国でのRO膜処理による都市下水高度処理および処理水の農業用水への展開,日本ピュアウォーター株式会社、アクセンチュア株式会社 共同企業体,石川県,(なし),チュニジア
,,,,,,,,
,,,,,,,,
746,2018,案件化調査（中小企業支援型）,水の浄化・水処理,下水道維持管理ロボットによる下水道管路の維持管理案件化調査,株式会社北菱,石川県,株式会社日水コン,マレーシア
,,,,,,,,
747,2012,案件化調査（中小企業支援型）,防災・災害対策,危険物貯蔵地下タンクの案件化調査,玉田工業株式会社、山田ビジネスコンサルティング 株式会社共同企業体,石川県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
748,2013,案件化調査（中小企業支援型）,防災・災害対策,社会資本整備の維持管理能力向上を目的とした橋梁長寿命化修繕計画策定システム導入及びノウハウ普及に関する案件化調査,株式会社COM-ONE、株式会社日本海コンサルタント 共同企業体,石川県,(なし),ベトナム
,,,,,,,,
749,2013,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,環境配慮型自動車リサイクルシステムの普及・実証事業,会宝産業株式会社,石川県,株式会社イースクエア,ブラジル
,,,,,,,,
,,,,,,,,
780,2013,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,都市ごみ焼却・埋立地再生に関する普及・実証事業,株式会社アクトリー,石川県,株式会社サステイナブルシステムデザイン研究所、株式会社サティスファクトリーインターナショナル,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
781,2017,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,レナジーシステムによるボラカイ島での使用済み食用油のリサイクルの普及・実証事業,株式会社金沢エンジニアリングシステムズ,石川県,株式会社福山コンサルタント,フィリピン
782,2020,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,マレーシア国 下水道維持管理ロボットによる下水道管路の維持管理普及・実証・ビジネス化事業,株式会社北菱,石川県,【契約交渉中】,マレーシア
783,2012,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,危険物漏洩対策に係る技術の移転を伴うSF二重殻タンクの普及・実証事業,玉田工業株式会社,石川県,山田ビジネスコンサルティング株式会社、システム科学コンサルタンツ株式会社,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
784,2019,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,斜面災害検知装置に係る普及・実証・ビジネス化事業,株式会社測商技研北陸,石川県,【契約交渉中】,ホンジュラス
785,2020,基礎調査,水の浄化・水処理,廃棄汚泥の減容化と再資源化にかかる基礎調査,日本ベネーブ株式会社、株式会社エヌ・イー・プロジェクト 共同企業体,石川県,【契約交渉中】,ベトナム
786,2019,基礎調査,保健医療,質の高い透析用水作製装置による人工透析技術へのアクセス向上事業に関する基礎調査,小松電子株式会社,石川県,【契約交渉中】,タイ
787,2018,基礎調査,防災・災害対策,斜面災害検知装置に係る基礎調査,株式会社測商技研北陸,石川県,国際航業株式会社,ホンジュラス
,,,,,,,,
789,2011,協力準備調査（BOPビジネス連携促進）,廃棄物処理,BOP層が参画する環境配慮型の自動車リサイクルバリューチェーンの構築事業準備調査(BOPビジネス連携促進),会宝産業株式会社、株式会社イースクエア 共同企業体,石川県,-,ナイジェリア
790,2012,案件化調査（中小企業支援型）,職業訓練・産業育成,プレカット工法を用いた木造住宅建築技術の普及,"株式会社西野工務店、Development EX.com,INC、太陽ASG有限責任監査法人 共同企業体",福井県,(なし),ラオス
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
791,2015,案件化調査（中小企業支援型）,農業,ロールプランターの活用による南インド乾燥地域での農産物の生産拡大に向けた案件化調査,ミツカワ株式会社,福井県,株式会社野村総合研究所、NRIインド,インド
,,,,,,,,
,,,,,,,,
792,2012,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,プレカット工法を用いた木造住宅建材及び木造住宅建築の普及・実証事業,株式会社西野工務店,福井県,デベックスジャパン株式会社、太陽ASG有限責任監査法人、KT1株式会社,ラオス
,,,,,,,,
,,,,,,,,
793,2017,基礎調査,水の浄化・水処理,水道未普及地域への軽量・小型・省エネ型RO膜ろ過装置の製造販売基礎調査,環水工房有限会社,福井県,株式会社フォーバル,インドネシア
,,,,,,,,
,,,,,,,,
794,2015,基礎調査,農業,野菜優良種子の生産・栽培技術移転及び流通基礎調査,福井シード株式会社,福井県,株式会社フォーバル、有限会社高島商事,ミャンマー
,,,,,,,,
,,,,,,,,
795,2017,基礎調査,農業,バオバブ、モリンガ、ハイビスカス等農産物加工品輸出販売事業策定基礎調査,株式会社折玉,福井県,(なし),セネガル
,,,,,,,,
,,,,,,,,
796,2018,基礎調査,防災・災害対策,冬期道路管理技術導入に関する基礎調査,山田技研株式会社,福井県,株式会社アジア共同設計コンサルタント,モンゴル
,,,,,,,,
797,2014,案件化調査（中小企業支援型）,環境・エネルギー,オゾン層保護と気候変動対策に資するフロンガスの回収・再生・破壊処理産業創出のための案件化調査,太洋商事株式会社,愛知県,開成エンジニアリング株式会社(Kaisei Engineering Sdn. Bhd)、株式会社エックス都市研究所,マレーシア
,,,,,,,,
798,2016,案件化調査（中小企業支援型）,環境・エネルギー,地中熱ヒートポンプによる環境配慮型暖房システムの案件化調査,ゼネラルヒートポンプ工業株式会社,愛知県,株式会社PEARカーボンオフセット・イニシアティブ,モンゴル
,,,,,,,,
,,,,,,,,
799,2017,案件化調査（中小企業支援型）,環境・エネルギー,河川掘削泥土再利用システムの導入に係る案件化調査,太洋基礎工業株式会社,愛知県,株式会社オリエンタルコンサルタンツ、株式会社アサノ大成基礎エンジニアリング,ベトナム
